page_id,query,actual,predicted,correct
ff49798f-4c61-4c8a-a79a-962c4da13c97,2024년 10월 10일 이후에 Device Trust 정책이 시행되면 어떤 애플리케이션에 접근할 수 없게 되나요?,업무 지원,업무 지원,True
fe64ba80-6af6-4dbb-87a3-3844b7cf2537,1 on 1 미팅에서 동기부여 요소를 확인하기 위해 어떤 구체적인 질문을 해야 하나요?,리더십,리더십,True
fc6dee10-649d-4b2f-9e5c-9fb2b8c2c5fe,"업무상 퀵서비스를 이용할 때, 호출번호 0211을 어떻게 사용할 수 있나요?",업무 지원,업무 지원,True
f33cc45e-3467-43dd-9dd2-4a64770385fc,리크루팅 식사 비용 지원을 받으려면 어떤 절차를 따라야 하나요?,채용,채용,True
e4207a04-b5cd-4353-8705-91e797846587,모바일 출입증을 신청하는 방법은 무엇인가요?,업무 지원,업무 지원,True
e037dcd8-e54f-47af-bbfa-b344b661caa4,도서 구매 신청은 어떻게 하나요?,업무 지원,업무 지원,True
dc2b82d0-db10-400c-9778-d0c6df883d24,외부인이 우리 사무실에 방문할 때 반드시 동반해야 하는 플렉스 소속 구성원의 수는 몇 명인가요?,업무 지원,업무 지원,True
d7486307-4bf2-4490-955e-d2ce83ebf07d,flex Mate 프로그램에 추천한 동료가 1년 미만으로 근속할 경우 인센티브는 어떻게 되나요?,채용,채용,True
d6212ed5-1d1d-4eb3-82b2-d50d13578534,그라운드 피트니스를 이용하려면 입사 시 지급된 명함 외에 다른 서류가 필요한가요?,생활 지원,생활 지원,True
d1cd5462-4ad6-4150-94b3-0ba6637fc970,회식에 참여할 때 음주 외에도 어떤 활동이 허용되나요?,문화/ 팀빌딩,문화/ 팀빌딩,True
d0bf3f41-d469-4bbb-bfd5-ced096044af6,구글 이메일 서명을 설정하려면 어떤 절차를 따라야 하나요?,업무 지원,업무 지원,True
cf88b1a9-b359-42fc-b57c-b5b23c232c10,Slack에서 프로필 사진과 직함을 어떻게 수정하나요?,업무 지원,업무 지원,True
ce79fba0-6d31-4e6b-8a80-1c93b03b8bbd,냉장고에 음식을 보관할 때 이름과 냉장일자를 어떻게 표기해야 하나요?,오피스,오피스,True
